"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"1","TP53TG3C",0,1,0,0,0,0
"2","MKKS",1217,1421,1001,970,903,1030
"3","NPIPA5",11059,12519,3191,4809,7262,13821
"4","ANKRD45",27,37,1,0,20,3
"5","ARL17A",711,557,249,772,895,928
"6","BOLA2",852,925,854,845,633,1714
"7","CEP63",1576,2167,1341,1261,896,517
"8","CKMT1B",0,1,0,0,0,0
"9","CRHR1",0,0,0,0,0,0
"10","CT47A11",0,0,0,0,0,0
"11","DEFB105A",0,0,0,0,0,0
"12","DEFB4A",0,0,0,0,0,0
"13","DGCR6",181,59,15,43,201,312
"14","FAM156A",8338,6623,713,730,2412,5295
"15","GOLGA6L22",0,0,0,0,0,0
"16","GOLGA6L4",325,207,54,48,56,32
"17","HERC3",2538,2389,887,650,1399,105
"18","HLA-DQA1",0,4,1963,2983,1523,1499
"19","KYAT1",1628,1152,477,397,1034,1398
"20","LGALS7",0,0,0,0,0,11
"21","MAFIP",134,125,0,121,0,177
"22","MATR3",22077,25262,21098,19995,9994,4152
"23","MIEF1",3604,2978,3344,3919,1918,1255
"24","MPV17L",93,60,17,23,65,101
"25","MRPL23",1846,2586,1936,1533,1457,2796
"26","PDE4C",24,2,2,4,71,61
"27","PDE8B",537,383,17,27,749,60
"28","PINX1",511,627,817,1228,537,1378
"29","PRH1",55,23,17,1,57,32
"30","PRODH",3,8,9,1,13,25
"31","PRORP",1635,1967,832,522,2417,532
"32","PSEN2",151,31,59,42,39,24
"33","RASA4",1669,1868,831,946,1713,2675
"34","SCHIP1",758,695,864,180,2237,216
"35","SERF1A",41,0,0,0,218,98
"36","SLC35D2",40,28,23,12,118,145
"37","SLX1B",4520,3813,2941,2124,5318,4282
"38","SMN1",182,211,107,227,280,112
"39","SPDYE10",0,1,6,0,0,2
"40","SRSF1",22099,19673,18360,20086,12939,7923
"41","ST6GALNAC6",2141,2287,1275,541,2949,3799
"42","TBC1D3C",629,344,13,13,0,25
"43","TBCE",2443,2131,1218,1039,1237,980
"44","TMSB15B",1974,1426,183,309,242,160
"45","USP17L8",0,0,0,0,0,0
"46","ZNF280D",439,491,446,285,806,439
"47","ZNF724",858,523,334,658,273,116
"1240","TSPAN6",1,0,0,0,9,4
"2149","TNMD",0,0,0,0,0,0
"358","DPM1",1653,1651,1304,675,593,274
"4123","SCYL3",292,348,206,241,365,213
"581","FIRRM",1113,929,559,689,822,857
"6246","FGR",0,594,172,0,1758,1764
"7214","CFH",1,6,0,0,7,13
"881","FUCA2",9,49,0,7,0,3
"9134","GCLC",1202,1323,565,1686,405,298
"1011","NFYA",921,1260,696,664,461,15
"11282","STPG1",312,353,72,196,235,300
"12165","NIPAL3",2982,3133,872,1605,1410,1023
"13101","LAS1L",8774,8857,2947,3206,3162,4328
"1414","ENPP4",0,18,0,1,19,3
"15102","SEMA3F",292,424,98,343,225,1598
"16124","CFTR",0,0,0,0,0,0
"17101","ANKIB1",3554,3260,1657,1307,1932,377
"18103","CYP51A1",208,93,142,155,45,4
"19100","KRIT1",2740,1654,1254,1411,1055,463
"2067","RAD52",1632,1456,415,173,1067,450
"2156","MYH16",0,0,2,2,0,2
"2250","BAD",1367,1629,798,817,1057,3357
"2381","LAP3",5851,7136,5362,4288,2657,4471
"24101","CD99",5413,4362,7321,2065,5106,4778
"25100","HS3ST1",79,4,8,41,41,23
"26100","AOC1",0,0,28,26,0,45
"2758","WNT16",0,0,0,0,0,3
"2832","HECW1",918,54,1848,1928,366,335
"2993","MAD1L1",1242,1185,2917,2033,2001,6749
"3097","LASP1",676,754,698,584,2387,2913
"3131","SNX11",478,479,519,385,593,1225
"3242","TMEM176A",0,41,0,0,4,74
"3312","M6PR",9038,8519,8002,3580,4891,2624
"34100","KLHL13",0,0,0,0,1,0
"3517","CYP26B1",3,0,0,0,0,8
"36100","ICA1",97,28,64,2,53,3
"379","DBNDD1",38,60,0,0,23,169
"3829","ALS2",408,331,235,119,129,18
"3923","CASP10",596,429,760,190,842,70
"40100","CFLAR",3387,3657,2738,1311,4226,2654
"41100","TFPI",123,130,91,28,194,67
"42100","NDUFAF7",773,693,410,302,669,315
"43100","RBM5",15308,6909,5066,4018,12556,13216
"44100","MTMR7",0,0,0,0,0,0
"45100","SLC7A2",0,3,0,380,0,0
"46100","ARF5",1796,2568,1020,1039,744,1529
"47100","SARM1",1019,846,8,944,75,1099
"48","POLDIP2",4805,5214,4344,4082,3040,5788
"49","PLXND1",23611,12112,10965,7814,19853,6626
"50","AK2",9933,10806,8878,9715,3090,2667
"51","CD38",539,605,4596,10571,5033,809
"52","FKBP4",2615,1927,800,1785,462,9660
"53","KDM1A",9370,8439,6762,6624,4910,4214
"54","RBM6",10338,8819,4000,3350,9166,12135
"55","CAMKK1",536,229,292,88,833,1872
"56","RECQL",5735,5013,2657,1515,2003,580
"57","VPS50",1000,573,504,506,463,348
"58","HSPB6",35,35,12,12,12,22
"59","ARHGAP33",3947,4143,512,653,6962,4299
"60","NDUFAB1",1438,1525,1259,1312,1612,2407
"61","PDK4",9,41,77,109,57,29
"62","SLC22A16",442,712,532,292,567,827
"63","ZMYND10",94,51,25,32,114,594
"64","ABCB5",4,2,0,1,9,9
"65","ARX",0,0,0,13,0,0
"66","SLC25A13",899,1094,740,561,497,304
"67","ST7",568,486,4,458,40,538
"68","CDC27",3491,2786,3177,2942,1566,550
"69","SLC4A1",0,1692,0,0,338,213
"70","CALCR",0,0,0,0,0,0
"71","HCCS",1721,1445,631,707,348,379
"72","DVL2",849,902,534,311,668,208
"73","PRSS22",0,0,0,0,0,0
"74","UPF1",10724,6678,7381,9018,5585,7501
"75","SKAP2",2190,2638,29,2024,411,612
"76","SLC25A5",37125,48705,11600,11497,9933,13552
"77","MCUB",1745,1655,1134,465,1128,358
"78","HOXA11",13,6,0,0,0,0
"79","POLR2J",2157,2437,1829,1831,1521,4356
"80","DHX33",3115,2633,2320,1597,1755,286
"81","MEOX1",0,0,0,0,0,5
"82","THSD7A",1798,720,340,1124,99,12
"83","LIG3",3323,3277,2143,2055,1888,1188
"84","RPAP3",2789,2814,2515,2262,1090,608
"85","ACSM3",809,426,12,11,107,51
"86","REXO5",409,212,182,181,442,238
"87","CIAPIN1",1796,1996,1706,1511,1905,3204
"88","SPPL2B",13348,9620,3639,2966,16011,16791
"89","ATOSB",344,1135,525,85,1165,542
"90","COPZ2",198,100,0,94,1,88
"91","PRKAR2B",996,2058,46,212,493,109
"92","MSL3",7802,6160,1513,2181,2368,2508
"93","CREBBP",16051,16143,8303,9274,4975,27
"94","TSPOAP1",10888,5209,2010,1770,14411,8415
"95","MPO",30326,16145,3737,261,29718,6278
"96","PON1",0,0,0,0,0,0
"97","GCFC2",1083,1457,584,1078,474,360
"98","WDR54",1396,1009,407,511,915,1359
"99","CROT",353,411,167,115,205,170
"100","ABCB4",775,498,291,245,245,249
"101","KMT2E",17185,9785,11985,9686,6120,954
"102","RHBDD2",683,545,300,494,528,3129
"103","SOX8",0,0,0,17,1,19
"104","IBTK",1414,830,901,802,975,243
"105","ZNF195",1161,998,446,636,752,174
"106","MYCBP2",7876,10268,5399,7365,4163,1654
"107","FBXL3",259,177,175,297,149,85
"108","ITGAL",45,392,2454,441,1641,231
"109","PDK2",2178,2318,1179,1409,1031,1801
"110","ITGA3",13,8,5,2,10,88
"111","ZFX",4978,4239,1971,1807,1192,516
"112","LAMP2",8273,7591,3799,3182,1337,611
"113","ITGA2B",59,143,14,4,35,129
"114","ASB4",0,0,466,1,2,1
"115","GDE1",2427,3140,1522,1582,1304,1184
"116","REX1BD",1706,1438,760,599,1244,2213
"117","CRLF1",0,1,3,1,0,5
"118","OSBPL7",2139,2029,638,507,2500,5909
"119","TMEM98",2,1,0,0,2,8
"120","YBX2",283,22,0,0,7,26
"121","MAP3K14",994,960,684,777,2220,2426
"122","ABCC8",0,0,0,0,2,1
"123","CACNG3",0,0,0,0,0,0
"124","TMEM132A",102,32,5,14,5,72
"125","AP2B1",11457,13938,7716,7436,8146,6999
"126","TAC1",0,0,0,0,0,0
"127","ZNF263",2902,2942,1816,2100,2386,3030
"128","CX3CL1",0,2,0,0,0,3
"129","SPATA20",1333,1484,279,137,997,1318
"130","CACNA1G",1,33,0,0,3,39
"131","TNFRSF12A",29,28,60,8,42,153
"132","DLX6",0,0,0,0,0,0
"133","MAP3K9",293,57,252,284,0,72
"134","RALA",1144,1285,1666,1525,909,883
"135","BAIAP2L1",182,18,1,370,0,1257
"136","KDM7A",1329,1069,519,316,580,55
"137","ETV1",0,2,0,39,2,1
"138","AGK",1441,1325,741,820,1167,464
"139","ALDH3B1",778,878,4,609,357,359
"140","TTC22",0,16,0,0,18,26
"141","PHTF2",142,138,129,107,297,54
"142","CCL26",0,0,0,0,0,0
"143","FARP2",2118,1723,1065,1219,1055,690
"144","USH1C",0,0,0,0,0,0
"145","GGCT",1300,1569,1459,1728,514,585
"146","DBF4",2032,1579,1694,2133,551,302
"147","TBXA2R",26,32,901,14,893,234
"148","IFRD1",1323,1499,850,954,817,828
"149","LGALS14",0,0,0,0,0,0
"150","COX10",908,946,789,403,664,263
"151","GTF2IRD1",3171,2880,622,716,596,794
"152","PAF1",5284,5881,3771,3565,2558,5732
"153","VPS41",1193,1009,1948,1638,1314,723
"154","ARHGAP44",0,5,8,1,10,2
"155","ELAC2",6116,6529,4188,2122,4013,1871
"156","SCIN",0,0,0,0,0,0
"157","ARSD",6851,5676,1285,1576,1299,1174
"158","PNPLA4",809,779,136,0,211,7
"159","MYH13",0,0,0,0,0,0
"160","ADIPOR2",6197,5651,2350,2315,1832,1668
"161","CDKL3",86,77,47,74,35,111
"162","UPP2",0,0,0,0,1,0
"163","PRSS21",0,14,0,0,0,4
"164","MARK4",3590,3871,1849,1912,1154,1278
"165","PROM1",61,27,93,117,146,25
"166","CCDC124",3373,4470,3483,2749,2205,5071
"167","CEACAM21",204,126,974,410,655,1007
"168","PAFAH1B1",512,868,662,271,1173,483
"169","NOS2",168,292,45,55,103,1471
"170","DNAH9",3,5,0,0,0,2
"171","BLTP2",15791,18065,11842,12000,11820,5344
"172","SLC13A2",0,0,0,0,0,0
"173","GAS7",6776,14103,7876,5082,5797,9174
"174","TRAPPC6A",1266,1525,759,692,1155,1650
"175","MATK",5,36,583,700,570,1465
"176","CEACAM7",0,0,0,0,0,0
"177","CD79B",5200,6163,7153,5185,21369,20535
"178","SCN4A",306,90,510,211,2058,981
"179","ST7L",604,573,240,283,369,586
"180","TKTL1",0,3,22,0,6,11
"181","PAX6",1731,1696,2,364,1,80
"182","RPUSD1",2353,2640,1821,1560,2076,4617
"183","RHBDF1",7,16,71,0,156,48
"184","LUC7L",6033,3651,944,909,3316,6355
"185","CACNA2D2",206,240,0,35,36,143
"186","BAIAP3",74,44,7,16,195,130
"187","TSR3",2346,2936,1829,1631,1565,3366
"188","PIGQ",2701,3113,1340,1310,3447,6621
"189","CRAMP1",4693,3519,2774,3834,4390,2185
"190","TEAD3",0,7,2,2,0,14
"191","SELE",0,0,0,0,0,0
"192","DNAJC11",406,476,227,230,240,485
"193","FMO3",0,4,0,0,3,2
"194","MYLIP",1612,1554,1514,1143,1312,1048
"195","NOX1",0,0,0,0,0,0
"196","E2F2",2959,4699,3593,5848,6744,8500
"197","PSMB1",5877,7151,4820,4072,2608,4585
"198","SYN1",18,2,2,3,0,7
"199","JARID2",6345,4683,3985,4305,1554,1044
"200","CDKL5",1078,553,47,121,199,106
"201","CAMK1G",0,0,1,0,0,0
"202","CDK11A",6147,5288,1585,2131,3664,10116
"203","NADK",5442,4775,4861,4531,6246,8713
"204","TFAP2B",0,0,0,0,0,0
"205","TFAP2D",0,0,0,0,0,0
"206","DLEC1",28,16,2,5,5,18
"207","CYTH3",1849,1000,2189,1826,1893,1462
"208","ADAM22",83,50,12,88,28,38
"209","SYPL1",1572,2323,1180,855,915,666
"210","CYB561",241,206,205,96,1239,410
"211","SPAG9",3655,2863,2025,1922,1470,171
"212","CELSR3",1011,401,97,279,57,521
"213","AASS",6198,5459,436,836,2028,480
"214","PLEKHG6",0,1,0,0,0,15
"215","SS18L2",671,552,437,423,574,1019
"216","MPND",932,1104,604,860,643,1546
"217","MGST1",6,19,0,3,35,12
"218","CRY1",249,154,33,34,45,10
"219","PGLYRP1",0,0,0,0,366,334
"220","NFIX",11725,11329,2587,3349,995,1627
"221","ST3GAL1",3853,5633,4049,2640,3818,2074
"222","MMP25",2600,392,1186,175,748,1918
"223","IL32",53,257,323,16,210,1038
"224","PKD1",10846,9860,2675,4786,7905,14648
"225","MAPK8IP2",377,294,13,22,21,239
"226","MED24",4793,5740,3733,3473,4909,6781
"227","RHOBTB2",189,450,188,292,1231,408
"228","HEATR5B",2755,1954,1913,1536,2333,313
"229","SEC62",7295,6451,4591,5863,1615,1577
"230","RPS20",44830,46085,26862,40647,28088,54507
"231","CSDE1",11519,12779,9230,8767,5889,877
"232","UBE3C",83,184,79,64,316,68
"233","REV3L",1145,1275,1781,969,2376,996
"234","TENM1",0,11,0,0,16,3
"235","PAX7",0,0,0,0,0,0
"236","MASP2",11,3,4,20,0,119
"237","IYD",5,8,4,4,15,12
"238","FAM76A",119,96,0,10,73,17
"239","TRAF3IP3",58,393,1401,364,3018,1490
"240","POMT2",1281,1282,362,286,1135,1533
"241","VTA1",2572,2431,2287,2762,1122,730
"242","MLXIPL",17,12,6,8,49,69
"243","BAZ1B",14996,13893,9944,13216,5799,4594
"244","RANBP9",4849,5002,3234,3313,2615,1313
"245","ETV7",219,360,101,34,242,541
"246","SPRTN",215,140,140,197,88,38
"247","METTL13",2433,2436,1991,1947,1878,2705
"248","DYRK4",608,771,389,143,526,600
"249","ZNF207",8676,9100,6371,6018,8596,3321
"250","UQCRC1",5366,7438,5301,4418,4704,9827
"251","STARD3NL",355,248,363,491,475,627
"252","CD9",5748,1726,6596,2238,5865,3483
"253","HHATL",0,0,0,4,0,10
"254","NCAPD2",994,854,354,445,1237,171
"255","IFFO1",3205,2408,786,373,2102,1556
"256","GIPR",102,11,13,13,12,23
"257","PHF7",603,588,394,523,620,315
"258","SEMA3G",0,42,4,1,25,187
"259","NISCH",7827,7952,2910,2356,9003,17595
"260","STAB1",0,20,41,6,205,1490
"261","FUZ",672,850,314,559,785,1442
"262","SLC6A13",2,4,0,0,0,5
"263","IDS",558,566,142,261,224,91
"264","PRSS3",0,0,0,0,0,0
"265","ZNF200",869,328,504,471,419,381
"266","CD4",0,237,342,31,138,270
"267","LRRC23",129,133,92,30,119,137
"268","BTK",16064,14746,7097,4968,7437,3648
"269","HFE",113,160,119,51,137,81
"270","SCMH1",2012,2668,1278,1099,3205,1076
"271","FYN",2674,2970,1582,2594,2288,4258
"272","HIVEP2",13016,6179,7550,7850,4607,1331
"273","FMO1",0,0,0,0,0,1
"274","ELOA",3280,3722,2332,2978,1621,1799
"275","LYPLA2",1920,2061,1894,1609,2389,5594
"276","CLCN6",289,184,78,135,277,490
"277","MRC2",1344,1571,245,298,16,2387
"278","NME1-NME2",145,347,286,494,0,0
"279","SLC6A7",0,0,2,0,0,2
"280","TSPAN9",4,0,652,3,50,238
"281","APBA3",1359,1271,757,475,1437,3724
"282","MKS1",662,646,515,268,845,969
"283","ABHD5",659,570,330,462,255,477
"284","ANOS1",0,1,22,26,179,46
"285","AKAP8L",3934,3654,1455,1001,4775,3716
"286","MBTD1",2633,2476,1637,2052,1460,278
"287","UTP18",43,76,32,74,52,87
"288","RNF216",2620,2256,3441,3662,2902,4775
"289","TTC19",1607,1658,997,497,812,564
"290","PTBP1",13632,16342,13548,12693,13664,8331
"291","DPF1",335,373,78,93,50,430
"292","SYT7",22,15,1,17,0,9
"293","LARS2",1887,1752,1705,1506,1418,1441
"294","PIK3C2A",157,72,77,66,46,3
"295","PLAUR",639,915,636,796,405,1857
"296","ANLN",1976,1231,2373,2373,1768,373
"297","WIZ",2354,2225,1831,1908,3289,3363
"298","RABGAP1",4311,3795,2056,1297,1872,1288
"299","DCN",0,6,0,0,6,10
"300","QPCTL",65,8,15,29,0,68
"301","PPP5C",4538,4437,3756,4663,3793,5408
"302","CEP68",4059,2633,4356,2115,3376,713
"303","MAP4K3",927,554,503,614,454,145
"304","ZBTB32",4,1,0,0,5,8
"305","TYROBP",0,150,310,33,322,1536
"306","LDAF1",637,543,399,493,227,865
"307","GABRA3",0,0,0,0,0,0
"308","BRCA1",6473,6080,3844,4033,3157,2058
"309","ERCC1",3361,3026,2843,2524,3432,5999
"310","CD22",2610,1397,4586,5413,5164,1356
"311","SEMA3B",71,25,7,31,10,300
"312","MBTPS2",152,165,6,13,9,7
"313","PRICKLE3",2689,1767,523,755,513,627
"314","LTF",0,88,5,44,2857,2014
"315","EXTL3",1483,1593,1207,2131,1091,2662
"316","NR1H4",0,0,0,0,0,0
"317","ELOVL5",967,673,694,676,451,197
"318","ALOX5",400,562,0,0,9421,3185
"319","KDM5D",0,392,1713,1424,7494,4627
"320","CALCOCO1",7868,6388,1297,1086,5588,3499
"321","UBR7",134,137,203,44,7,0
"322","MAP4K5",2565,2499,1026,704,1543,446
"323","PSMC4",3174,3923,2444,2874,2315,5452
"324","MAN2B2",4506,4315,1464,2079,1973,2203
"325","SLC7A14",9,10,1,4,18,18
"326","CLDN11",2,0,0,0,5,16
"327","SLC25A39",2159,1957,344,562,1743,7361
"328","MVP",622,1644,497,295,1175,1611
"329","NUB1",9033,9626,5261,4589,4615,3798
"330","PGM3",1352,753,388,523,490,428
"331","RWDD2A",496,171,86,90,66,102
"332","CLK1",7804,5001,1534,1640,3624,2338
"333","POLR3B",782,700,760,657,313,147
"334","ANGEL1",1415,1521,896,1026,1590,1099
"335","RNF14",1334,1406,979,952,655,620
"336","DNASE1L1",1992,1962,630,478,1174,1104
"337","DDX11",10928,9132,3402,1996,12024,8661
"338","HEBP1",895,1411,725,353,802,754
"339","GPRC5A",6,1,0,1,5,21
"340","MAMLD1",411,1078,42,25,89,85
"341","CD6",0,53,36,0,18,150
"342","TACC3",9696,10134,7968,8847,10403,11498
"343","UFL1",1211,942,1373,1526,1054,148
"344","POLA2",2464,2833,2160,1994,2640,3658
"345","ZC3H3",2345,2316,1307,1794,1321,4553
"346","CAPN1",1969,2027,1650,522,3256,4522
"347","ACP3",0,0,0,0,14,3
"348","MDH1",159,62,83,80,767,1469
"349","SLC30A9",1329,1370,1093,1017,505,126
"350","MTMR11",10,14,8,1,4,21
"351","COX15",2352,1764,1638,1436,1318,1028
"352","CCDC88C",1025,918,998,585,1653,1382
"353","YAF2",955,1060,423,473,284,296
"354","ZMYND11",4072,3989,2721,1666,1372,443
"355","WAS",7822,7979,5377,4967,4455,6310
"356","DPEP1",2143,875,3164,2839,10104,2181
"357","BID",398,434,973,1108,952,882
"359","NPC1L1",1,0,0,2,13,296
"360","XYLT2",2555,2118,1081,1110,1102,2138
"361","RGPD5",35,25,7,181,25,32
"362","STMN4",0,0,1,2,0,10
"363","NUDCD3",1598,1602,2656,2338,2629,3680
"364","ISL1",0,0,0,0,0,0
"365","CHDH",0,0,0,0,0,0
"366","IL20RA",0,0,0,0,0,0
"367","CLCA1",0,0,0,0,0,0
"368","CLCA4",0,0,0,0,0,1
"369","GLT8D1",1209,692,492,594,802,798
"370","ATP2C1",3146,3055,2121,1892,1539,1399
"371","IGF1",0,0,0,0,0,0
"372","SLC38A5",3981,5198,1499,2312,1530,3953
"373","RALBP1",8236,7950,5698,6038,3294,2091
"374","RUFY3",1459,1487,1265,439,1599,318
"375","CNTN1",0,0,0,0,0,0
"376","SLC11A1",75,126,34,13,573,802
"377","WWTR1",1,5,40,850,11,226
"378","AGPS",4278,4589,4538,1449,514,34
"380","STEEP1",3117,3342,1113,1226,687,572
"381","ATP1A2",0,2,0,0,0,0
"382","TTC27",856,1070,1009,731,819,485
"383","ZNF582",103,72,60,32,91,61
"384","VSIG2",0,0,0,0,0,0
"385","PHLDB1",1028,891,177,60,121,589
"386","MARCO",0,24,0,0,19,10
"387","CYP24A1",0,0,0,0,0,0
"388","PRDM11",576,201,186,351,180,516
"389","SYT13",0,1,0,0,3,0
"390","SNAI2",0,0,0,0,5,1
"391","CD74",12166,21392,15921,17736,13145,53716
"392","HGF",202,457,111,75,645,121
"393","ZRANB1",2775,2797,2011,1723,1118,1143
"394","NCDN",1554,1567,770,957,1267,1503
"395","ADGRA2",4,13,15,7,75,45
"396","CCT8L1P",3,9,3,0,3,3
"397","ZFP64",1294,1423,1157,684,583,237
"398","MNAT1",430,464,531,359,176,148
"399","SAMD4A",1133,624,562,157,661,137
"400","RUNX3",96,94,481,33,145,6
"401","MRE11",3903,3503,1976,2760,1707,817
"402","PLEKHB1",0,0,0,9,10,23
"403","SERPINB1",5470,4817,4300,665,3687,3325
"404","CYP3A43",0,0,0,0,16,2
"405","SLC7A9",11,5,0,7,25,158
"406","SPAST",1277,1027,933,704,662,143
"407","NRXN3",23,5,12,0,550,10
"408","OSBPL5",887,825,468,210,556,485
"409","AQR",2097,2025,1292,1428,1213,379
"410","CPS1",161,233,26,86,122,213
"411","C8B",0,0,0,0,0,0
"412","FHL1",12671,12207,4620,7159,3897,6114
"413","RTF2",3144,4341,3533,1203,3215,2024
"414","GABRA1",0,0,0,0,0,0
"415","NLRP2",0,0,0,0,0,0
"416","SLC45A4",0,40,43,265,73,505
"417","RNF10",6601,11249,4533,4781,4981,7601
"418","ZNF839",1388,1067,470,682,988,2257
"419","ZDHHC6",2577,2443,1043,1300,1500,1412
"420","GRAMD1B",1899,1544,1108,614,1858,1061
"421","RNH1",202,436,108,169,12,240
"422","NDUFS1",2168,2704,2366,2252,1672,539
"423","RB1CC1",2090,1549,862,1616,1255,282
"424","ERP44",3908,4364,2260,2024,1488,2105
"425","ALAS1",2103,2209,1448,1253,1388,1392
"426","BIRC3",8,59,128,30,153,126
"427","AKAP11",4209,3880,2152,2414,2038,317
"428","GLRX2",506,281,303,319,295,137
"429","SNAPC1",714,543,365,468,203,242
"430","DERA",2055,2352,1071,476,969,345
"431","STRAP",7399,8203,5255,2949,2309,1730
"432","ABCC2",83,80,12,63,109,108
"433","DEF6",3943,4638,3517,2690,3981,9455
"434","PLEKHO1",8211,6497,7527,5938,6175,8582
"435","GCLM",884,699,695,824,140,74
"436","UBR2",4564,3452,1946,2206,2226,1422
"437","EHD2",3,14,7,201,37,104
"438","DEPDC1",1547,1601,1044,1865,598,246
"439","CCDC28A",1293,1106,742,855,337,753
"440","RRAGD",3289,1807,1673,1463,378,444
"441","HSF2",997,991,566,880,366,373
"442","PHF20",3247,2867,2422,2119,1360,1192
"443","HSD17B6",144,169,44,82,51,65
"444","NR1H3",522,527,182,212,328,1047
"445","TYMP",62,480,191,172,449,1944
"446","NCAPH2",3658,3743,1578,2020,3566,13311
"447","TOMM34",2209,2111,2369,2440,1711,3390
"448","SEC63",5364,4766,6162,7573,2661,1209
"449","KPNA6",4941,4634,3229,2854,2386,1508
"450","VIM",33836,53457,38805,32636,35424,28537
"451","RTEL1-TNFRSF6B",1160,1177,232,140,1405,608
"452","FAS",3,93,191,56,154,106
"453","RNASET2",4056,5071,4160,3393,7815,23037
"454","CD44",1020,1911,2509,2770,1557,1463
"455","KCNG1",40,10,3,125,28,669
"456","AGPAT4",391,405,32,47,290,199
"457","SLAMF7",4,73,444,73,153,115
"458","BTN3A1",861,483,229,175,1206,120
"459","MIPEP",364,375,507,350,403,205
"460","PRKCH",766,207,278,136,367,1529
"461","INSRR",12,0,1,0,1,10
"462","IFNGR1",1037,849,1103,1409,698,1130
"463","B4GALT7",295,131,72,70,418,344
"464","SH2D2A",463,227,414,957,102,905
"465","VRK2",1308,1407,690,911,544,297
"466","TNFRSF1B",1224,2002,7513,465,3085,3079
"467","VEZT",3880,3234,1915,1797,1640,547
"468","POU2F2",96,875,718,94,2953,2067
"469","BRD9",2866,2760,1464,1308,2580,3101
"470","SNX1",7321,7203,4528,4828,7025,4308
"471","TBPL1",614,604,298,449,370,429
"472","BMAL2",993,820,631,280,356,233
"473","BCLAF1",11727,16008,11655,9840,5180,1040
"474","SLC39A9",559,657,286,722,481,1537
"475","ANK1",76,5196,214,157,792,265
"476","IBSP",0,0,0,0,0,1
"477","TFB1M",461,332,322,315,336,297
"478","RABEP1",4035,3474,3887,1348,1598,735
"479","HMGB3",2366,3251,1437,926,581,338
"480","NUP160",5454,4756,3849,5773,3720,1039
"481","BAK1",1566,1666,1205,942,1970,3979
"482","MUSK",0,0,0,0,0,0
"483","IKZF2",302,87,1391,12749,885,93
"484","GRN",11173,13182,7442,5684,5470,13782
"485","FAM13B",3835,3753,2833,2448,1915,544
"486","ARHGAP31",38,194,348,20,66,94
"487","CENPQ",505,483,273,475,181,177
"488","SARS1",6444,6464,4122,4719,3802,10135
"489","RANBP3",2993,2672,1678,2162,2035,3977
"490","ARID4A",3744,2446,1572,1724,1154,318
"491","EIPR1",1548,1909,1562,1389,2049,2479
"492","PNPLA6",3433,4904,2120,2063,3014,5763
"493","IFT88",348,543,294,188,307,167
"494","ALG1",1118,1055,935,1248,877,1467
"495","ZCCHC8",3048,2277,1437,1333,1908,1201
"496","ABCF2",2844,2924,2250,1890,1780,2548
"497","CHPF2",2368,1995,1081,951,2464,3054
"498","LRRC7",1,2,0,0,0,0
"499","FUT8",1437,791,945,884,593,390
"500","UBA6",719,616,435,637,212,42
"501","GAB2",19793,19096,10459,10544,10291,6097
"502","ATP6V0A1",11,131,40,72,189,956
"503","PIAS1",2219,1477,1465,1416,825,671
"504","SLC4A7",2801,1706,934,2643,789,108
"505","APBA2",0,39,0,0,24,0
"506","MAP2K3",2396,4701,2906,1067,2904,2308
"507","CLXN",0,0,0,0,0,0
"508","TMSB10",26226,33516,26897,16408,37614,58775
"509","ASTE1",444,202,274,350,247,322
"510","RNF19A",2675,1985,1291,1444,1160,364
"511","PEX3",613,779,505,633,303,199
"512","GABARAPL2",1784,2357,1271,1355,1140,1981
"513","MYOC",0,0,0,0,0,0
"514","SH3YL1",1793,1296,492,698,922,319
"515","FAM136A",2724,2624,1441,1348,1093,1320
"516","VCL",3160,3717,2352,523,4929,652
"517","DEPDC1B",84,248,134,189,126,23
"518","DAPK2",33,12,4,88,108,159
"519","NSMAF",2931,2978,3011,3196,1827,1331
"520","ADSS2",3265,2831,2305,3038,1554,744
"521","STAP1",74,14,1814,504,391,311
"522","TIMP2",310,43,0,0,161,111
"523","RFC1",9901,6929,4782,5563,2466,1714
"524","TBC1D23",1868,1530,1157,1187,627,272
"525","CUL3",5060,5587,4209,4132,1813,641
"526","MYOM2",5,15,11,97,28,127
"527","OTC",0,0,0,0,0,0
"528","CYP46A1",241,104,3,5,91,83
"529","ZZZ3",3327,3055,2017,1873,1255,501
"530","SLC18A1",1,0,0,2,0,4
"531","USP2",65,71,0,73,0,40
"532","CASR",223,204,52,95,1102,266
"533","TUBG2",599,818,15,64,32,854
"534","RPL26L1",655,646,1094,860,525,993
"535","FLT4",274,8,1021,95,2790,552
"536","NSUN2",2797,1447,1222,1303,2470,1321
"537","FBXO42",2138,1615,1130,1144,1223,1935
"538","MFAP3",829,343,471,582,305,64
"539","MRI1",2791,2391,844,784,2233,1198
"540","METTL1",145,206,121,125,217,609
"541","HOXC8",4,0,0,0,0,0
"542","AGA",743,497,469,435,412,179
"543","PI4K2B",1834,1425,1516,1767,1084,298
"544","BOD1L1",395,272,182,209,330,151
"545","MAT2B",1054,1171,458,908,873,349
"546","TLL1",0,0,0,0,0,0
"547","EDC4",2099,2040,383,558,3308,9916
"548","TRIO",6578,5863,2916,1708,4787,543
"549","VCAN",0,892,33,98,765,41
"550","CLEC16A",3285,3792,1965,1999,2624,2719
