"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"15240","ZNRF3",597,368,85,507,133,96
"15241","FBXL7",0,0,0,0,0,3
"15243","TANGO2",1162,1615,657,643,2147,3241
"15244","H3C13",0,4,0,2,67,44
"15246","SFXN4",1107,1330,628,810,720,1258
"15247","GKN2",0,0,0,0,0,9
"15248","FAM167B",6,12,6,2,4,183
"15249","MRPL54",905,1241,977,758,979,1785
"15250","ZNF438",253,319,235,114,185,283
"15251","HMCES",6110,5891,3948,3255,3039,4867
"15252","CCR3",0,0,0,0,0,24
"15254","GOLGA8G",11,0,14,1,3,22
"15255","PRR32",0,0,0,0,0,0
"15256","TP53TG3",0,0,0,0,0,0
"15257","RP1L1",68,4,4,2,47,59
"15258","KRTAP8-1",0,0,0,0,0,0
"15259","HOATZ",0,0,0,0,7,2
"15260","ZNF530",313,97,153,208,216,281
"15261","NDUFB1",1097,1050,762,516,815,1666
"15262","MARCHF11",0,0,0,0,0,0
"15263","KLHL25",767,482,329,444,384,1006
"15264","TAFA1",1,0,0,72,4,3
"15266","TRMT12",535,507,988,504,847,458
"15268","PSG9",0,0,1,0,0,0
"15269","CMKLR2",3,2,0,4,0,1
"15270","BMP8A",3,2,0,3,4,3
"15271","ALYREF",4753,5552,4907,5386,2915,6353
"15272","RFLNB",1059,3906,1066,1035,2288,1275
"15273","EFHC2",5,23,1,14,66,4
"15274","NOG",5741,181,7073,8686,102,805
"15275","MRGPRX2",0,0,0,5,0,1
"15276","UPP1",9,95,93,16,190,1224
"15277","SLC9B1P1",0,0,0,0,0,0
"15278","OR4N4",0,0,0,0,0,0
"15279","IFNL2",0,0,0,0,0,0
"15280","OPCML",0,0,0,0,0,3
"15281","TRIM52",2461,1874,610,620,1765,669
"15282","LHFPL6",408,312,178,403,63,272
"15283","CMTM4",572,392,131,193,255,338
"15284","TMEM50A",4428,4682,2992,3473,2151,3164
"15285","FIGLA",0,0,0,0,0,0
"15286","ASCL2",135,303,5,20,79,62
"15287","TBK1",479,396,275,148,505,236
"15288","CBX6",5267,3289,9882,4160,2337,1999
"15289","MACC1",61,42,27,34,0,0
"15290","ACSM2A",4,12,3,1,22,29
"15291","TBL3",2108,2203,1851,1991,2546,4029
"15292","ACP7",0,0,0,0,0,0
"15293","KREMEN1",105,106,5,15,92,205
"15294","TRAIP",1126,1027,435,649,725,2714
"15295","CHEK2",1131,1316,546,914,991,1216
"15296","FOXL2",0,0,0,5,0,4
"15297","AIFM3",13,17,6,5,26,49
"15298","KCTD16",28,4,4,4,0,0
"15299","B3GALT5",0,0,0,0,0,0
"15300","ZNF703",169,365,524,445,499,1234
"15301","SLC35F3",78,28,18,1,23,12
"15302","KCTD8",0,0,0,0,0,0
"15303","TUBA8",280,644,222,282,444,749
"15305","EMILIN3",0,0,0,2,0,8
