"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DEDD2","DEDD2",1531.30504611493,-1.65183492175189,0.543939221388902,-3.03680054093925,0.00239103615617098,0.0777995199143171
"ADCY4","ADCY4",115.091780299272,-2.79603387522848,0.922006669459299,-3.03255276544603,0.00242494698290272,0.078663810460526
"ADAM8","ADAM8",1456.3888756988,-2.65636050081585,0.87712334880855,-3.02849137971775,0.00245778089092842,0.0792553818155626
"NBEAL2","NBEAL2",12785.3239535051,-2.00281117977547,0.661482735091457,-3.02776032317542,0.00246373407699263,0.0792553818155626
"SPTBN2","SPTBN2",723.487021945503,3.46012136401012,1.14287579627938,3.02755677850078,0.00246539394157705,0.0792553818155626
"MAP3K6","MAP3K6",774.770215207314,-2.808338385627,0.927899821665406,-3.02655342748807,0.00247359102475555,0.079280814131761
"PPP1R15A","PPP1R15A",6910.27816560578,-1.87580320096663,0.620520986458049,-3.02294884766714,0.00250324552299856,0.0794908720628884
"FRMD4B","FRMD4B",3476.8873224558,2.11180265571296,0.698881606776548,3.02168870268775,0.00251368908646597,0.0794908720628884
"PCED1A","PCED1A",2490.4680187939,-1.88569615763587,0.624050020189653,-3.02170674886412,0.00251353924629776,0.0794908720628884
"UBA7","UBA7",9463.77169219956,-1.89702985390945,0.627176723623502,-3.02471342199914,0.00248868815719221,0.0794908720628884
"SPRED2","SPRED2",1053.55791924641,1.70234893567828,0.563457103985394,3.02125738345897,0.00251727282852117,0.0794908720628884
"SORBS3","SORBS3",3830.02629929733,-2.60287288620449,0.861926018670873,-3.01983329174612,0.0025291385270422,0.0796306703881963
"SGSM3","SGSM3",3093.26504861301,-2.27573792476568,0.75481658623128,-3.01495484635307,0.00257017515699488,0.080685410720323
"ARSA","ARSA",1584.97388933934,-2.15123446474244,0.714099376130167,-3.01251413549801,0.00259093369168638,0.0810698038016604
"RPL21","RPL21",12117.0787944133,-2.46187336746345,0.817905556732165,-3.00997266395834,0.00261271203284193,0.0810698038016604
"CELP","CELP",80.1050153238717,-3.16660865840373,1.05194410446397,-3.01024421826796,0.00261037707365231,0.0810698038016604
"RDM1","RDM1",106.704773471803,-2.4348550730596,0.808674646015586,-3.0109205043788,0.00260457031832588,0.0810698038016604
"AP2S1","AP2S1",570.346414873767,-2.41008360473332,0.801746858260649,-3.00604059735498,0.00264673658229949,0.081228709035132
"PIEZO1","PIEZO1",5956.22691859698,-2.61546237959323,0.870390937193225,-3.00492832338924,0.00265643441528699,0.081228709035132
"SNRPC","SNRPC",534.045476646255,-2.20446189168201,0.733568941036943,-3.00511890343377,0.00265477045997126,0.081228709035132
"PARP1","PARP1",457.066628907324,-2.71787629678054,0.90431827525795,-3.00544218904045,0.00265195003022608,0.081228709035132
"ZNF260","ZNF260",842.79172192856,1.37525840246339,0.457656097075281,3.0050040002792,0.00265577356591119,0.081228709035132
"MC1R","MC1R",945.087716869519,-2.480366464176,0.825650472257868,-3.00413619021262,0.0026633607539777,0.081228709035132
"VWA7","VWA7",96.6511408714272,-2.35370614163717,0.783785872800835,-3.00299638372694,0.00267335608053047,0.0813019228468143
