"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COMMD1","COMMD1",568.611039826264,-1.03489923717516,0.558564802897497,-1.85278276004275,0.0639135022292916,0.355980250449826
"RAP2B","RAP2B",1675.35937661918,1.02433139855942,0.553046778274537,1.85216050214641,0.0640027786802229,0.356106936471822
"GFPT1","GFPT1",1624.46431641616,0.948122734447264,0.511843079213019,1.85236994100818,0.0639727186228245,0.356106936471822
"KPNA3","KPNA3",2596.13200511196,1.29999630474711,0.702193618787572,1.85133597054288,0.0641212343057777,0.356580682204338
"ST6GAL1","ST6GAL1",2589.71423506999,0.979181615420815,0.52903822122351,1.85087121523329,0.06418808271216,0.356665488930407
"PER2","PER2",1409.18187698318,1.09887308262728,0.593739376555676,1.85076672698032,0.0642031197729,0.356665488930407
"SPN","SPN",19104.7413499568,1.08751900212229,0.587935247719237,1.84972580967219,0.0643530785985062,0.357313125724589
"GNA15","GNA15",6636.15437337574,-0.910888507840689,0.492557131058372,-1.8493052894868,0.0644137424056739,0.357464547668605
"KMT2E","KMT2E",8718.73171347319,1.27634294782966,0.69090271664777,1.84735552064756,0.0646956311550951,0.357711401166364
"E2F1","E2F1",4967.07686408892,-0.812120709534905,0.439564374620558,-1.84755807436839,0.0646662995536749,0.357711401166364
"WIPF1","WIPF1",14118.0597565464,0.962918461210882,0.521175302156086,1.84759035439193,0.0646616261297338,0.357711401166364
"SHLD2","SHLD2",1528.38076528,0.791021372847328,0.427939950604941,1.84844011812669,0.0645386995929468,0.357711401166364
"UBAP2L","UBAP2L",7570.29269827085,1.03298805838191,0.559079950496522,1.8476571328743,0.0646519589868173,0.357711401166364
"MANF","MANF",1570.5061627362,-1.27299704651833,0.688855601919864,-1.84798823290461,0.0646040451246429,0.357711401166364
"NADSYN1","NADSYN1",5680.22980182332,-1.01152705337622,0.547607528981155,-1.84717521188615,0.06472175072156,0.357711401166364
"C16orf95","C16orf95",95.8305249061158,-1.36546462427264,0.739228193407264,-1.84714900818233,0.0647255473198736,0.357711401166364
"SPRTN","SPRTN",131.214884984903,1.13568107081505,0.615128933247817,1.84624882594739,0.0648560844240691,0.358063116946704
"GBE1","GBE1",2514.32701972766,0.975423435542607,0.528312286766994,1.84630087161461,0.0648485312733656,0.358063116946704
"SELENON","SELENON",5567.80473138231,0.837238127114539,0.453682414397314,1.84542777181865,0.0649753363451931,0.358536585348089
"BMP1","BMP1",382.688716774727,-1.01886761424306,0.552408894932192,-1.84440841483577,0.065123641893983,0.359169802408598
"POLR3B","POLR3B",536.911033825313,1.06221100188979,0.576287142372758,1.84319746839454,0.0653001843984501,0.359910590809728
"NINJ1","NINJ1",1026.82378233513,-1.19972342847359,0.650953035398802,-1.84302609133482,0.0653252011156751,0.359910590809728
"COPS9","COPS9",584.922061602323,-1.06745092163264,0.57939767861959,-1.84234587231317,0.0654245738443582,0.360154066037015
"ZNF675","ZNF675",828.139981841375,1.07793513388698,0.585114664432834,1.84226306297049,0.0654366799105086,0.360154066037015
"SBF1","SBF1",9868.62662241261,-1.02102392895582,0.554356219011797,-1.84181920205731,0.0655016003267867,0.360326121016573
"NPIPA5","NPIPA5",8310.0849278182,-0.937153225948801,0.509005150046632,-1.84114684470863,0.0656000424503795,0.360372264756006
"RSBN1","RSBN1",1379.04848727849,1.23900676375862,0.673211218801229,1.84044283451617,0.065703249659858,0.360372264756006
"CDC73","CDC73",1497.47393629015,1.14750070696371,0.62374493284776,1.83969543724339,0.0658129638111155,0.360372264756006
"TJAP1","TJAP1",3053.81257522812,-0.93191040620678,0.506507003964515,-1.83987664319064,0.0657863498341327,0.360372264756006
"MAP2K5","MAP2K5",213.006693065112,-1.62439154884833,0.882818390518088,-1.84000646825565,0.0657672876959181,0.360372264756006
"USP8","USP8",2092.07069439842,0.987298768973911,0.536285267259684,1.840995509757,0.0656222167227086,0.360372264756006
"DUSP10","DUSP10",454.689634027381,-1.42871827250632,0.776122333285036,-1.84084159317912,0.0656447756042128,0.360372264756006
"RMND1","RMND1",557.950690802776,0.737497508757622,0.400510057714429,1.84139572665481,0.0655635885903515,0.360372264756006
"CFAP119","CFAP119",295.481606254506,-1.1391973559714,0.619081720286406,-1.84014051560814,0.065747610379222,0.360372264756006
"SLC35E1","SLC35E1",1379.97416139541,0.842990783751726,0.458293448624563,1.8394126869623,0.0658545094764062,0.36041540078984
"PIK3CB","PIK3CB",659.86318029578,1.13184555621969,0.615419019501188,1.83914620828111,0.0658936840716453,0.360445522732224
"FAM83D","FAM83D",740.49802924684,0.831443312147875,0.452296592454081,1.83827012190521,0.0660226114843787,0.360966320704941
"NEPRO","NEPRO",965.235316482211,0.9967248309525,0.542384945011386,1.8376705329304,0.0661109684996879,0.361264889121572
"TWNK","TWNK",1824.01794650641,0.841399849338962,0.458115474585742,1.83665450310276,0.0662609157662954,0.361899542488874
"PRKACB","PRKACB",2182.26854880299,1.20906849073065,0.658565729696483,1.83591164284828,0.0663707254681036,0.362129773769648
"LIMS1","LIMS1",2460.00532568083,1.10997555882706,0.604565977752868,1.83598746815487,0.0663595100958512,0.362129773769648
"RTF1","RTF1",4108.95883133036,0.940059302643167,0.512204436362271,1.83532050077419,0.0664582152392115,0.362348028178067
"TMEM140","TMEM140",219.861512634087,-1.36665215317771,0.744694873725088,-1.8351840483895,0.0664784238525665,0.362348028178067
"GPS2","GPS2",2830.24867474342,-0.848301967524137,0.462384312442906,-1.83462532074741,0.0665612242787379,0.362614710383659
"CDC20","CDC20",940.129094325446,-1.17566295161403,0.641439631275371,-1.83285050422667,0.0668248061217886,0.363563210231946
"GNRH1","GNRH1",56.7569711275334,-1.88755079921116,1.02979209270343,-1.83294357432473,0.0668109627600387,0.363563210231946
"CASP3","CASP3",1670.05803329386,0.716988034270494,0.391205211087507,1.83276708476696,0.0668372160426408,0.363563210231946
"ZFYVE27","ZFYVE27",2538.43621672073,-1.00601403048838,0.549373482903467,-1.83120238197801,0.0670703413315724,0.36446429038326
"GNB1L","GNB1L",520.072677008164,-1.05055911049762,0.573700377811112,-1.83119821971515,0.06707096235918,0.36446429038326
"DLG1","DLG1",2986.44244977512,1.07802787910464,0.588947832144654,1.83043016760754,0.0671856401043169,0.36472553118792
"PPIA","PPIA",24558.1056190806,0.999243317667229,0.54590934777056,1.83041987052986,0.067187178655075,0.36472553118792
"TPI1","TPI1",3805.15544979897,-1.12174175828454,0.613052602117405,-1.82976428843167,0.067285192987796,0.365072473864347
"KLHDC4","KLHDC4",2188.26015297648,-1.09891715680067,0.601199413561724,-1.82787463196327,0.0675683691020599,0.366423197182143
"CUTC","CUTC",149.910329073442,1.08361290196755,0.593137102801968,1.82691808832829,0.0677120861490784,0.366884702704581
"ZNF501","ZNF501",137.091896761924,1.03675895374173,0.567511170523019,1.8268520649316,0.0677220151839562,0.366884702704581
"ALS2CL","ALS2CL",376.483717954502,-1.46260931603442,0.800858237785997,-1.82630239289023,0.0678047250010379,0.367146980847805
"TSNAX","TSNAX",1950.82064185392,1.10309634237198,0.604220812590768,1.82565101927248,0.0679028455303795,0.367216083213748
"E2F8","E2F8",1645.71588299395,0.950160384227088,0.520483364259087,1.82553458856394,0.0679203965215527,0.367216083213748
"GMEB1","GMEB1",1316.05754602676,0.797458034462459,0.436822577793497,1.82558795035418,0.0679123521985578,0.367216083213748
"TMEM214","TMEM214",653.824249389506,-1.58540755406675,0.868786239535896,-1.82485343565487,0.0680231496107933,0.367503331432821
"ZNF772","ZNF772",505.375901406896,1.23405136225971,0.676293569321395,1.82472733475491,0.0680421861653293,0.367503331432821
"RNF166","RNF166",1798.384045229,-0.841443024327221,0.461193886319535,-1.82448867881183,0.068078226344701,0.367512563298045
"ACSL3","ACSL3",2046.68158898077,1.11624719601418,0.611916312703145,1.8241827727768,0.068124445125023,0.367516750956809
"JAZF1","JAZF1",36.4809106879394,-1.68015984441163,0.921125542282892,-1.82402915486153,0.068147664703341,0.367516750956809
"CIAO3","CIAO3",4749.70305653269,-1.22247390381803,0.670382369794684,-1.82354721558748,0.0682205527835052,0.367724580839589
"SEC62","SEC62",4279.92778901956,1.02653771831992,0.563284422956463,1.82241453248789,0.0683921111708448,0.368229480562857
"ZNF629","ZNF629",2204.57919184266,0.786581794240441,0.431654714813678,1.82224766056353,0.0684174158654388,0.368229480562857
"TUT1","TUT1",226.455724584867,-1.40682014257216,0.771967883997799,-1.8223816971331,0.0683970897623861,0.368229480562857
"SRC","SRC",398.420666169843,-1.52290486151677,0.836100836961552,-1.82143683416358,0.0685404803026749,0.368706453085495
"SLC7A6","SLC7A6",1390.90445701426,-0.9544698666353,0.524298663911328,-1.82046976720262,0.0686874962425019,0.368714490953977
"PCDH12","PCDH12",229.370648056256,-1.84924325551665,1.01577913170692,-1.82051707678733,0.0686802980971028,0.368714490953977
"SBF2","SBF2",161.366332454428,-1.39353497341631,0.765554740749454,-1.82029435550498,0.068714190514076,0.368714490953977
"NOTCH1","NOTCH1",5555.774198378,-0.944332044430406,0.518624038347569,-1.82084125417561,0.0686309912377493,0.368714490953977
"UBE2L6","UBE2L6",4839.61352136233,-0.889781958901691,0.488696403039009,-1.82072541023116,0.0686486075737981,0.368714490953977
"PLD6","PLD6",517.997470556813,1.04654239010367,0.575001841958328,1.82006789150341,0.0687486665678642,0.368714667138771
"PALS2","PALS2",1043.70761061087,1.29734704050113,0.713053999190822,1.81942327225339,0.0688468788743793,0.369056503931012
"ARID2","ARID2",1162.69988313729,1.25491921244522,0.68993225242495,1.81890208500106,0.0689263697016286,0.369297691519487
"SCN4A","SCN4A",740.967688437021,-1.71944620023702,0.945507953376237,-1.81854229157692,0.0689812889286203,0.369407052516698
"MSMO1","MSMO1",90.2436379879087,1.45078197964926,0.797888115210728,1.8182774652134,0.0690217352537797,0.369422246381452
"AHDC1","AHDC1",5147.41565105409,-1.06629586184163,0.586498182037221,-1.81807189604206,0.0690531447930206,0.369422246381452
"TXLNB","TXLNB",105.993039952044,-1.30764190354921,0.719380313594362,-1.81773378953841,0.0691048306523841,0.369514091974911
"SBNO2","SBNO2",4435.95236173147,-0.904382776265672,0.497674286509158,-1.81721821034656,0.069183707684224,0.369746692653304
"ACTR5","ACTR5",595.01165934932,-0.887570991996167,0.488602388742515,-1.81655066050833,0.0692859441288992,0.369746692653304
"TFAM","TFAM",2481.03591438882,1.18888574040698,0.654923826134185,1.81530384598253,0.0694772282944067,0.369746692653304
"WASF1","WASF1",2587.62844176297,1.25000174532978,0.688627586028377,1.81520718991102,0.0694920751986315,0.369746692653304
"CISD1","CISD1",586.595116732479,0.938005661579437,0.516815599822949,1.81497164927061,0.0695282664466232,0.369746692653304
"PAICS","PAICS",11756.8733795014,1.01102934330845,0.556691099012544,1.81614066598479,0.0693487970041399,0.369746692653304
"WRAP53","WRAP53",857.009103720722,-0.954740018579553,0.525884303735992,-1.81549441920377,0.0694479628300575,0.369746692653304
"KIAA0319L","KIAA0319L",2183.70532812339,-0.807124537420366,0.444605222070282,-1.81537349845337,0.0694665309066685,0.369746692653304
"MRNIP","MRNIP",1361.32240561198,-1.23367235665153,0.678974208623221,-1.81696497596439,0.0692224763832976,0.369746692653304
"ZNF24","ZNF24",2935.02408604467,0.779265989419131,0.429000726323349,1.81646776241534,0.0692986487761083,0.369746692653304
"PSMB10","PSMB10",4898.86700106969,-0.817856313671576,0.450579670443569,-1.81512031571785,0.0695054217755302,0.369746692653304
"C17orf113","C17orf113",121.828037203166,-1.21432167783683,0.669378035108792,-1.81410445838647,0.0696616453084156,0.370272052148256
"MRPL3","MRPL3",3135.20297603379,1.07641490437049,0.59354108024425,1.81354743622385,0.0697474292151581,0.370544034614525
"BOLA1","BOLA1",428.205326843478,-1.16359513631356,0.641858446308542,-1.8128531968468,0.0698544665635654,0.370928603453853
"ABRACL","ABRACL",2447.76218169227,0.752226707707544,0.415009260148656,1.81255403177774,0.069900633180082,0.370989726421804
"PRKY","PRKY",1198.33183636393,-2.06559973606122,1.14021997867632,-1.81158002375924,0.0700511138771405,0.371604149680272
"TK2","TK2",705.036430871064,-1.19886369879774,0.661930086500649,-1.81116363079315,0.0701155261482368,0.371696468491341
"TMEM134","TMEM134",743.405525132105,-0.86007034552036,0.47490970462506,-1.81101867817038,0.0701379604252694,0.371696468491341
"LLGL2","LLGL2",615.091710937849,-1.21827344028431,0.673700584434761,-1.8083306864079,0.0705550486382954,0.372087438389903
"MAX","MAX",4450.86073015628,0.68904305374776,0.380882562278259,1.80906957153993,0.0704401956333843,0.372087438389903
"IL18BP","IL18BP",1653.13817946758,-1.06463280116004,0.588470329826373,-1.80915289556597,0.0704272532966407,0.372087438389903
"PFKL","PFKL",33557.6442772589,-1.04126282207059,0.575531541251107,-1.8092193866683,0.0704169269398303,0.372087438389903
"ZC3HAV1L","ZC3HAV1L",300.633457394834,1.61925406263105,0.895339178613278,1.80853703413157,0.0705229583043162,0.372087438389903
"GPT2","GPT2",744.449092927321,1.44084893839735,0.796575127471631,1.80880483046298,0.0704813295924772,0.372087438389903
"DOLK","DOLK",242.062158283678,1.15226855377479,0.636558294503086,1.81015401688274,0.0702719062081432,0.372087438389903
"NRIP1","NRIP1",10365.6813669063,1.33970708168638,0.740354446733317,1.80954823408923,0.0703658737693551,0.372087438389903
"CCDC162P","CCDC162P",249.251845345278,-1.69428054779587,0.936944927925345,-1.80830323885469,0.070559318069267,0.372087438389903
"RPS3AP26","RPS3AP26",241.867825380421,1.48354604500362,0.819612509347082,1.81005783597109,0.070286818678956,0.372087438389903
"PLD3","PLD3",2330.90376169872,-1.06476062815013,0.58909686492043,-1.80744575562111,0.0706928052226862,0.372607818763592
"MTREX","MTREX",964.543868438757,1.32547305645357,0.734425465626329,1.80477545849148,0.0711098262253633,0.372969470721467
"PLEKHH1","PLEKHH1",49.7472936187511,-1.47243676353799,0.815834321294166,-1.80482326509903,0.0711023425641246,0.372969470721467
"RBL2","RBL2",283.676348588818,-1.5188794232947,0.841020655439161,-1.80599538604861,0.0709190602756336,0.372969470721467
"SERAC1","SERAC1",214.050629623479,1.23962420296762,0.686132703950049,1.80668287028315,0.0708117400565828,0.372969470721467
"STARD13","STARD13",471.617419122729,1.40029696950976,0.775658388269969,1.80530113602328,0.0710275719791988,0.372969470721467
"CBX4","CBX4",5378.27724535737,-1.22740340913373,0.680052564376179,-1.80486549633064,0.0710957322110939,0.372969470721467
"PRSS53","PRSS53",531.939624740817,-1.64763199592059,0.912500465600567,-1.80562318380429,0.070977218799231,0.372969470721467
"ZNF708","ZNF708",619.314565497168,1.11385075120442,0.616747000657613,1.80600919018132,0.0709169040602787,0.372969470721467
"ZNF251","ZNF251",206.266586100065,-1.41102955297295,0.781425046026476,-1.80571324165765,0.0709631432093937,0.372969470721467
"RPL15P3","RPL15P3",272.865184340431,1.45461407118899,0.805670880777588,1.80546933728706,0.0710012695319885,0.372969470721467
"RPL18A","RPL18A",4067.22089300112,-1.42253282431185,0.788768803570235,-1.80348515036724,0.0713120554947881,0.373484829691708
"DNAJC15","DNAJC15",783.426688926638,-0.869765366767989,0.482342277371414,-1.80321196704524,0.0713549317731572,0.373484829691708
"RPL13AP25","RPL13AP25",141.416410489303,-1.42552034157917,0.790611066173688,-1.80306145786479,0.0713785633006114,0.373484829691708
"ZNF444","ZNF444",2615.53053500975,-1.05473872723473,0.585051300454109,-1.80281408897999,0.0714174167565555,0.373484829691708
"CPNE7","CPNE7",849.408978620674,-1.41404860534572,0.784315531143382,-1.80290782114732,0.0714026924995806,0.373484829691708
"NSUN5P1","NSUN5P1",3379.10265200956,-1.38385346616523,0.767232052132155,-1.80369610774142,0.0712789600660621,0.373484829691708
"ZNF724","ZNF724",431.284735476518,1.08465308833385,0.601758695899789,1.8024718142411,0.0714712053591738,0.373529386992325
"TOMM70","TOMM70",3459.44283827297,1.04112736902141,0.577660878352911,1.80231587084448,0.0714957229282835,0.373529386992325
"NTHL1","NTHL1",966.920347787121,-1.05252183177993,0.584425952326485,-1.80094985102911,0.0717107846114269,0.374105238433394
"SREBF2","SREBF2",11090.4873855383,0.717854486303772,0.39854508002218,1.80118767559199,0.0716733042320794,0.374105238433394
"ATAD3C","ATAD3C",36.9365906383191,-1.61099526424291,0.894453669541283,-1.80109414171122,0.0716880429528031,0.374105238433394
"MDGA1","MDGA1",758.370196341311,-2.22177705417406,1.23400668655236,-1.80045787302935,0.0717883697169918,0.374327568348951
"ZNF714","ZNF714",1215.19488626594,1.04812827778446,0.582279379033348,1.80004361398556,0.071853751834038,0.37448608246513
"MYL5","MYL5",315.714981792226,-1.48149431969834,0.823137237369899,-1.79981448103604,0.0718899366204238,0.374492346239239
"GTF2H1","GTF2H1",1733.02889571856,0.795414902045548,0.442001387327653,1.79957557792893,0.0719276802086613,0.374506720152587
"SUPT7L","SUPT7L",2054.37811398671,-1.04098436921148,0.578555700945433,-1.79928115393276,0.071974217703376,0.374566845169976
"RHOC","RHOC",1088.61905548489,-1.46649211433345,0.815434966164402,-1.79841701077826,0.0721109490667477,0.374955739524477
"ZFYVE9","ZFYVE9",780.915733924733,1.17784810334498,0.654954542628076,1.79836618678715,0.0721189974480055,0.374955739524477
"TNRC6C","TNRC6C",1761.5357655101,1.43186491163676,0.796404607791755,1.79791138527813,0.0721910516181716,0.375105318098329
"THNSL1","THNSL1",357.123079717719,1.38862853800386,0.772429120559609,1.79774234430446,0.0722178477908132,0.375105318098329
"PPCDC","PPCDC",493.431617336471,-1.16236754766948,0.646696309172732,-1.79739319860415,0.0722732197341033,0.375210871606972
"ESS2","ESS2",1086.47885483075,-0.900017969397917,0.500798399361147,-1.79716622606231,0.0723092345540561,0.375215877799889
"BMP2K","BMP2K",3357.19958560361,1.26473003209025,0.704178196278279,1.79603691050731,0.0724886469767137,0.375964615254709
"THAP5","THAP5",573.496278054591,1.0831259107764,0.603170178910007,1.7957219183709,0.0725387541859998,0.376042306809263
"ILVBL","ILVBL",2280.55192464618,-0.997774735214809,0.555833067126506,-1.79509783463048,0.0726381137201713,0.376375124576202
"SDF4","SDF4",1652.29979454133,-1.17334319222444,0.653776315708135,-1.79471657818245,0.0726988678439858,0.376462715114301
"TMEM245","TMEM245",2456.86256241516,0.950628342748766,0.529833802502376,1.79420100842755,0.0727810912577807,0.376462715114301
"PPIG","PPIG",4251.33917221582,1.05321947837769,0.58704301664483,1.7941095431085,0.0727956861547504,0.376462715114301
"LYRM7","LYRM7",1603.57859211384,1.20873038167147,0.673640228186936,1.79432630519217,0.0727611018473625,0.376462715114301
"B4GALT7","B4GALT7",218.488554614869,-1.32622553622402,0.739628854052947,-1.79309599531805,0.0729575758830647,0.376607560917274
"TRPM7","TRPM7",3044.42900460494,1.04074824692317,0.580433554813518,1.79305320702477,0.0729644167531458,0.376607560917274
"DUSP6","DUSP6",5950.54416164402,0.715954830156281,0.399279699863131,1.79311602969473,0.0729543730245605,0.376607560917274
"ZSWIM8","ZSWIM8",4775.18512485834,-1.00104042697417,0.558091475671041,-1.79368521221461,0.0728634269321942,0.376607560917274
"LSM11","LSM11",413.541891057389,1.02738649935488,0.57315395499312,1.79251401897281,0.0730506655868194,0.376871024147905
"DNAJC4","DNAJC4",2124.82229028739,-0.97469454280071,0.544326844134085,-1.79064206240141,0.0733507526039771,0.376918846961986
"PSMD9","PSMD9",2131.8025301389,-0.892120179312532,0.497863437043052,-1.79189736167629,0.0731494086839283,0.376918846961986
"MAN1C1","MAN1C1",383.214659511701,1.35163283332212,0.754759812060925,1.79081187382167,0.0733234891903941,0.376918846961986
"VPREB3","VPREB3",6035.02748337536,-1.0490530560906,0.585678546851208,-1.79117548650303,0.0732651386443222,0.376918846961986
"DOCK4","DOCK4",99.5118858337017,1.74554808439005,0.9745629577799,1.79110858919416,0.073275871101037,0.376918846961986
"TROAP","TROAP",3245.1880861691,-0.905003181268561,0.505700359517508,-1.78960359476911,0.0735176602014598,0.376918846961986
"SYVN1","SYVN1",4931.44636538722,-0.939759645397188,0.524717708059359,-1.79098138096547,0.0732962828960224,0.376918846961986
"HYI","HYI",1335.6765897083,-1.20753746497675,0.674511594727207,-1.79023974445557,0.073415378295542,0.376918846961986
"PURA","PURA",1149.34715830176,1.11102689347921,0.620283382224305,1.79116017826421,0.0732675944594017,0.376918846961986
"ZNF830","ZNF830",600.266241138549,1.04266698092286,0.582508958534682,1.78995870474803,0.0734605502765295,0.376918846961986
"ZNF254","ZNF254",818.31624836827,1.14178947228278,0.63782343675546,1.79013408176241,0.0734323589706107,0.376918846961986
"UMAD1","UMAD1",288.034777248635,1.027293765091,0.573972959782812,1.78979470649579,0.0734869204903776,0.376918846961986
"DCP1A","DCP1A",1774.64514063297,0.896330968766855,0.500741420470125,1.79000764092039,0.0734526830498239,0.376918846961986
"GPR137B","GPR137B",82.077787960964,1.62901970836836,0.910400912700483,1.78934322850828,0.0735595562050772,0.376953111141863
"LTBP2","LTBP2",126.136568158942,-1.42026839229263,0.793861918837307,-1.78906225200066,0.0736047905433538,0.377004441515121
"ZC3H13","ZC3H13",4809.29265585976,1.05300043148809,0.588796396014185,1.78839483158576,0.0737123295833728,0.37737469545194
"RCOR1","RCOR1",2745.28183828377,0.908804460907534,0.508350170067017,1.78775284128994,0.0738158923480438,0.377417584782799
"ING5","ING5",1583.89039162783,-0.883922569350574,0.494450333243474,-1.78768727599445,0.0738264757155704,0.377417584782799
"POLR2J2","POLR2J2",213.599214471919,-1.43566032255845,0.802968165914104,-1.78794176843124,0.0737854031913289,0.377417584782799
"SYNCRIP","SYNCRIP",5302.93773142569,1.11867503017327,0.626260542562024,1.78627736244852,0.0740543603680954,0.378401874816449
"SIKE1","SIKE1",1210.04766244359,0.985032152327722,0.551944782521866,1.78465705903959,0.0743169601172219,0.378728448878536
"CD84","CD84",1106.56235818967,1.89428375622218,1.06196235404088,1.78375791666646,0.0744630105411301,0.378728448878536
"PSME1","PSME1",1252.85680955207,-0.906662016429137,0.508189417053194,-1.78410251375666,0.0744070088980032,0.378728448878536
"IL12RB1","IL12RB1",457.769075282573,-1.00185041617341,0.562148500863293,-1.78218106894328,0.0747197089240044,0.378728448878536
"HRH2","HRH2",2552.0712683045,-1.11157459985706,0.623041300080213,-1.78411061949497,0.0744056920213366,0.378728448878536
"COX7C","COX7C",2959.80362630284,-0.871032465776745,0.487916067274729,-1.78520963788285,0.0742273192546163,0.378728448878536
"ECM1","ECM1",8041.43596023993,-1.77624150654318,0.996432693218354,-1.78260058971584,0.0746513437754183,0.378728448878536
"SLC30A5","SLC30A5",1369.21402035827,1.04350643621326,0.585506792815172,1.78222771967509,0.0747121041895307,0.378728448878536
"ASAP2","ASAP2",1847.0711146751,1.189054194158,0.666316175204444,1.7845194794996,0.074339292398579,0.378728448878536
"ACSF2","ACSF2",1541.44343446014,-0.999338113997709,0.560518255512912,-1.78288236675404,0.0746054540530253,0.378728448878536
"PROCA1","PROCA1",975.251123331388,-1.49257715750482,0.837230909445491,-1.78275448345949,0.0746262780488479,0.378728448878536
"KCTD13","KCTD13",1019.45121241365,-0.964178474462022,0.540264119651616,-1.7846428059738,0.074319273458647,0.378728448878536
"TRNAU1AP","TRNAU1AP",899.53775743657,-0.980208830615716,0.549619393120842,-1.78343203111867,0.0745160029874364,0.378728448878536
"H2BC4","H2BC4",44.7531558073923,-1.41555601591298,0.793384996686777,-1.78419811544764,0.0743914784422464,0.378728448878536
"PRR29","PRR29",228.816987450104,-1.56117676718265,0.875191655721651,-1.78381130233167,0.0744543324017447,0.378728448878536
"NAMPTP1","NAMPTP1",68.0634052205409,1.17921697230452,0.66140035730112,1.78290948785752,0.0746010383729731,0.378728448878536
"TIFAB","TIFAB",376.608982281406,1.22420650085666,0.686468341069685,1.78334007209867,0.0745309620721241,0.378728448878536
"ZNF692","ZNF692",1894.14448200453,-1.17882452540876,0.661612473336075,-1.78174471146942,0.0747908720360686,0.378909742142032
"RFC1","RFC1",4808.47395751831,0.934893557413278,0.524917545136348,1.78102935608761,0.0749076551244146,0.37914684375163
"ANAPC5","ANAPC5",7490.37071509578,-0.837960455774278,0.470525225705167,-1.78090442338866,0.0749280658862259,0.37914684375163
"ZNF471","ZNF471",69.8928057048336,-1.68514976824433,0.946284139868134,-1.78080736773118,0.074943925397333,0.37914684375163
"EED","EED",410.737454709957,-1.29244776789448,0.726021843487318,-1.78017752425524,0.0750469124569692,0.379160120548255
"ERAL1","ERAL1",344.761309285935,-1.43717089631804,0.80746121332941,-1.77986369201827,0.075098270961394,0.379160120548255
"WDR82","WDR82",6469.33629132817,0.844252340460339,0.47432154612118,1.77991564449119,0.0750897669808742,0.379160120548255
"WRN","WRN",1014.52574243163,1.01494351838276,0.570152682685292,1.78012583156253,0.0750553699693094,0.379160120548255
"MSH5","MSH5",600.834779103371,-1.14150068917657,0.641397484932482,-1.77970870792661,0.0751236446224053,0.379160120548255
"PKD1","PKD1",8113.61436794675,-0.983442373392011,0.552988979511808,-1.77841224658802,0.0753361727814671,0.379240952281249
"CAPS","CAPS",1041.013207247,-1.44389214618985,0.811590117312457,-1.77909035039909,0.0752249504718491,0.379240952281249
"PLEKHG1","PLEKHG1",833.676619459931,-1.78936019997525,1.0061847518931,-1.77836147547321,0.0753445056380168,0.379240952281249
"GALNT1","GALNT1",4426.76750451356,1.01046466561789,0.568283787938024,1.77809870185508,0.0753876456286312,0.379240952281249
"ANAPC11","ANAPC11",1513.3173624898,-1.00074180641139,0.562699468146596,-1.77846588287636,0.0753273704928798,0.379240952281249
"ZNF273","ZNF273",570.405914427041,0.960595185604053,0.53995255125841,1.77903629377303,0.0752338118971732,0.379240952281249
"KLLN","KLLN",167.181530204523,1.34083943004589,0.75408523827839,1.77810062043793,0.0753873305785737,0.379240952281249
"PLCG2","PLCG2",3897.86139160306,-1.00099448776175,0.563266388090593,-1.77712448128675,0.0755477610568872,0.379689569067595
"ZNF736","ZNF736",1479.07428069493,0.903279496793723,0.50823130137725,1.77730000955458,0.0755188920940514,0.379689569067595
"NENF","NENF",1147.71490214293,-1.0879672483073,0.612967329371467,-1.77491881895711,0.0759112924847253,0.379938914264586
"TIMM10","TIMM10",1642.81231776493,-1.3337184643607,0.751031269534875,-1.77584944657057,0.0757577352246471,0.379938914264586
"CAPRIN1","CAPRIN1",13989.8029486212,1.08064153569955,0.608851417240775,1.7748854730385,0.0759167994032647,0.379938914264586
"KIF20B","KIF20B",2247.05681517546,1.15023833613037,0.648035013103188,1.77496325487465,0.0759039546125865,0.379938914264586
"RPS19BP1","RPS19BP1",2354.46690994764,-1.06758908171592,0.601053920934552,-1.7761951873735,0.0757007512322791,0.379938914264586
"ZNF292","ZNF292",2940.68020280977,1.30955059539603,0.737568510132109,1.7754968893147,0.0758158787248253,0.379938914264586
"SZT2","SZT2",4344.62311294112,-0.86005958473904,0.484132015467884,-1.77649805685304,0.0756508619125309,0.379938914264586
"TMEM35B","TMEM35B",356.503484617012,-0.965521600282642,0.543962003768742,-1.77497985813936,0.0759012130008311,0.379938914264586
"CCPG1","CCPG1",649.446642043435,0.841457043134343,0.473947876257816,1.77542106481897,0.0758283884050335,0.379938914264586
"SLC4A7","SLC4A7",1407.55570089321,1.42176739725812,0.801466742732317,1.77395682372435,0.0760702923626432,0.380351461813216
"ILKAP","ILKAP",1723.01212373852,-0.968088219294924,0.545691942999775,-1.77405628159572,0.0760538412489771,0.380351461813216
"TSPOAP1","TSPOAP1",6862.51748175462,-1.26654255497499,0.714072703994955,-1.77368851643423,0.0761146869763844,0.38039211600079
"KRI1","KRI1",4069.82824400574,-1.02385008725172,0.577311890939272,-1.77347825901513,0.0761494913208495,0.38039211600079
"DBR1","DBR1",661.864517284045,0.831411514597983,0.468893201360023,1.77313621137282,0.0762061389091699,0.38049753592475
"TAGLN2","TAGLN2",14450.9010618399,-0.821327569057798,0.463373536426493,-1.77249563147655,0.0763123198250013,0.380850062343421
