"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"163","EFR3B",245.094999395769,3.27932878874752,0.930937990946138,3.52260711308457,0.000427324324229475,0.0280644594532302,214,43,981,73,65,30
"164","AOX2P",728.133948767743,-3.26126570703261,0.926707570416105,-3.51919614249861,0.000432856560900463,0.0282544480758503,372,646,44,83,2870,276
"165","TAGLN",347.044685350402,-3.02238739266057,0.859639244615004,-3.51587879635971,0.000438301024964428,0.0284364392257224,180,149,31,55,433,1152
"166","CHCHD3",448.51216794769,-2.70315498627242,0.770634544528247,-3.50770025229947,0.000451998024897607,0.0291484268465595,202,263,42,142,1189,750
"167","SF3A2",686.66534106258,-2.1949604155543,0.626079815244035,-3.50587954141077,0.000455101134851292,0.0291728002909167,572,758,131,156,1036,1514
"168","TFAP2E",76.5517378268611,-2.52963615276651,0.723573372182102,-3.49603267618571,0.000472230867730833,0.0300906633277296,28,75,26,16,138,166
"169","OAS1",384.379052173672,-2.35424389174711,0.675438839282374,-3.48550269073718,0.000491213282970095,0.0308018667192549,195,351,131,78,386,1126
"170","DXO",457.723156394628,-2.84315489618248,0.815379651021033,-3.48690930981934,0.000488637025588097,0.0308018667192549,242,223,50,91,543,1497
"171","MYO15B",21399.3681691194,-2.50147957253328,0.717772033356562,-3.48506135135337,0.000492024213824622,0.0308018667192549,17880,19940,2815,2873,35286,50135
"172","LILRB1",389.925439820105,-2.57638008191096,0.73975024355788,-3.48277017053712,0.000496254201894709,0.0308860536702492,121,579,32,182,434,986
"173","SNAI1",1063.91707259792,-2.39745544653097,0.689620449763038,-3.47648543101464,0.000508031829754281,0.0314363048411536,575,4860,273,258,759,732
"174","SLC25A34",296.078595751391,-2.62993500288499,0.756912210247963,-3.47455750782965,0.000511696668198126,0.0314811082359824,220,336,40,38,319,840
"175","SHANK3",2441.11311060959,-3.57708529052994,1.03013228050601,-3.47245238133187,0.000515726494318765,0.0315477264096136,619,762,597,21,6953,4811
"176","CTRL",193.511216413969,-2.88962331406645,0.834052099901879,-3.46455972523346,0.000531100192750377,0.0323035657010954,58,113,35,49,155,698
"177","HHLA2",230.639559756047,-3.39441210636258,0.984410726570661,-3.4481665170264,0.000564405960776404,0.0339436281466933,108,100,15,22,146,936
"178","H2BC21",623.381347165819,-2.12962780203351,0.617585871735223,-3.44831042855616,0.000564105298272195,0.0339436281466933,604,1260,129,102,1088,804
