"","id","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt","DS76_C","DS81_C","K_C","N_C","S_C","DS1_C"
"8530","TMEM94",6573,4478,1797,995,4081,4799,NA,NA,NA,NA,NA,NA
"8531","FLII",13903,16733,7244,4234,7815,6220,7643,4463,8148,8408,5699,9295
"8532","SOX12",3475,2082,1874,4303,1563,3714,1977,4536,2880,5814,5504,2323
"8533","HNRNPA0",17943,22315,14407,15735,10902,7441,15201,16586,13754,13800,13355,11996
"8534","CHID1",1462,1553,949,1141,1129,3663,1263,1568,1150,1411,1662,1195
"8535","ZNF620",243,138,71,42,96,113,146,108,22,107,214,369
"8536","ZNF518A",2361,1927,774,1437,952,338,817,1515,1183,1865,1212,1578
"8537","TMEM187",564,463,189,138,204,806,199,145,206,137,176,377
"8538","SVBP",855,937,521,334,738,754,NA,NA,NA,NA,NA,NA
"8539","ZNF619",697,350,431,325,408,195,455,343,494,325,360,466
"8540","AP3S1",33,57,12,34,36,53,1514,1600,1127,2104,1785,2198
"8541","GRB2",3678,3020,3602,4040,4853,3332,13694,10560,9809,9127,9197,6445
"8542","ZBTB41",1004,575,424,509,222,42,447,537,452,403,385,671
"8543","UBE2N",4613,5047,3947,4141,2622,2092,4164,4365,4401,5593,5575,3084
"8544","ARL6IP6",1731,2084,706,1330,1000,720,745,1402,1196,1203,1361,1157
"8545","MAMDC4",1384,804,291,136,1396,4561,307,143,157,146,249,925
"8546","CENPBD1P",414,245,381,511,263,510,NA,NA,NA,NA,NA,NA
"8547","BET1L",2697,2053,1462,1891,1576,2548,1667,2047,2088,1597,2113,2021
"8548","RPS27",34848,33476,30596,31919,32789,58774,32282,33645,26157,34055,28508,23298
"8549","RIC8A",4952,4995,3789,4380,4498,7203,3998,4617,4755,4607,4371,3311
"8550","IMP3",2103,2059,2134,2364,1592,2671,2252,2492,2664,2872,3369,1406
"8551","ASB8",1681,1552,1212,969,803,661,1279,1021,1182,1101,943,1124
"8552","DMAP1",3963,3901,1121,1187,3127,5032,1374,1401,1230,1132,1358,2782
"8553","IMPDH2",19357,18206,14393,16387,7654,13336,15186,17273,15332,15637,17719,12941
"8554","ALS2CL",452,131,141,103,571,847,148,109,37,13,14,302
"8555","NDUFAF3",917,971,868,879,682,506,2083,1923,2723,1672,2827,1225
"8556","C2orf69",803,697,478,433,365,44,504,456,510,511,522,537
"8557","GRAMD1C",26,75,48,16,203,66,51,17,19,104,86,17
"8558","STAP2",358,317,230,183,218,630,NA,NA,NA,NA,NA,NA
"8559","TSSK6",119,50,48,47,48,116,51,50,62,68,42,80
"8560","BOLA1",296,300,243,264,452,956,256,278,210,106,2,198
"8561","PDE4DIP",1069,1045,926,3369,1181,2046,1175,4613,1809,1795,738,866
"8562","DDX10",2434,2610,1667,2261,800,822,1759,2383,1729,3969,2481,1627
"8563","NDUFV2",122,293,74,89,125,194,2744,2355,3808,3652,3848,1765
"8564","DALRD3",1256,631,546,363,1336,1847,576,383,1232,312,764,840
"8565","ZNF114",310,219,136,372,143,85,143,392,777,430,35,207
"8566","ZNF518B",900,521,428,1548,495,221,451,1632,783,1381,110,602
"8567","LCORL",1368,847,845,1168,475,66,892,1231,732,1022,953,915
"8568","SH2B1",6317,5264,1444,1462,5801,8809,1566,1579,1407,1391,1703,4265
"8569","ZC3H12D",2060,1866,2726,2505,3293,2478,2876,2640,941,610,860,1377
"8570","PLEC",1036,5975,1685,2216,8471,7890,1778,2336,5203,1145,1351,693
"8571","SH2D4B",1759,3162,574,122,1935,1236,606,129,0,83,5,1176
"8572","PRSS36",48,35,29,12,176,105,31,13,4,2,3,32
"8573","ZNF543",579,200,320,339,226,94,338,357,292,235,79,387
"8574","WDR6",15887,12114,7636,6569,11827,17827,8057,6924,8650,7154,8486,10690
"8575","GEN1",2587,1293,1104,1950,1209,843,1622,2345,1878,1555,1499,2520
"8576","TMEM11",1342,1367,966,796,587,747,1019,839,1529,1172,1624,897
"8577","ZNF354B",858,758,291,268,612,261,307,282,206,91,202,574
"8578","ZFAND2A",196,247,128,305,425,947,135,321,187,393,153,131
"8579","PLEKHM3",1121,1385,439,562,665,128,463,592,298,548,583,749
"8580","ZNF223",381,112,151,85,115,37,NA,NA,NA,NA,NA,NA
"8581","BEND3",576,285,742,941,301,263,783,992,841,1898,810,385
"8582","NT5DC1",612,683,461,542,359,250,486,571,662,2334,489,409
"8583","TIMM23B-AGAP6",1156,496,133,157,380,166,NA,NA,NA,NA,NA,NA
"8584","GLDC",524,432,2934,1321,1005,598,3096,1392,5243,1204,3917,350
"8585","COX14",609,654,422,493,585,1619,445,520,433,455,431,407
"8586","RPL10P16",814,907,423,550,611,908,NA,NA,NA,NA,NA,NA
"8587","P4HTM",2526,1834,313,568,1056,3323,330,599,290,79,0,1689
"8588","KLHL11",866,1116,379,596,438,157,400,628,547,665,728,579
"8589","CTXN1",287,69,30,94,40,102,32,99,195,394,146,192
"8590","SLC25A20",909,1566,807,508,761,1092,851,535,432,709,381,608
"8591","EPM2AIP1",3951,2018,1546,1371,1892,678,1631,1445,1588,722,1526,2641
"8592","MAF",425,50,84,115,36,195,89,121,0,0,5,284
"8593","CTNNBIP1",2364,2235,1641,852,1332,2712,1731,898,617,674,513,1580
"8594","GTPBP6",4830,5713,2281,1890,2696,2854,2407,1992,2640,3952,3228,3229
"8595","ERN1",766,544,425,656,664,493,448,691,284,270,141,512
"8596","GPR35",129,143,70,54,114,1947,95,82,34,2,16,146
"8597","ZNF713",281,258,189,171,225,86,199,180,171,236,145,188
"8598","PARP10",1543,1512,515,718,2641,10591,2031,1825,2097,1019,915,2926
"8599","SUZ12",661,1255,499,492,291,25,4755,5831,5975,5360,6032,4790
"8600","NSUN3",968,765,573,572,411,265,605,603,525,825,590,647
"8601","KCTD12",706,663,911,2839,466,436,961,2993,1305,8,1756,472
"8602","DHFR2",345,268,216,406,130,85,NA,NA,NA,NA,NA,NA
"8603","GRINA",7066,4762,2902,3109,1448,3769,3062,3277,5399,2701,1655,4724
"8604","THBD",24,23,130,40,42,103,137,42,0,0,0,16
"8605","COX5A",3894,4798,3221,3718,2579,5482,3914,4382,5141,5061,7255,2936
"8606","FAM219B",1768,970,510,342,2024,3280,1184,754,1168,1203,962,1929
"8607","ZHX2",5165,5580,6336,6209,4748,3117,6685,6545,10718,6029,6965,3453
